gene,exon_number,chrom,exon_start,exon_end,strand
ALK,1,2,29919993,29921586,-
ALK,2,2,29717578,29717697,-
ALK,3,2,29694850,29695014,-
ALK,4,2,29531915,29532116,-
ALK,5,2,29383732,29383859,-
ALK,6,2,29328350,29328481,-
ALK,7,2,29320751,29320882,-
ALK,8,2,29318304,29318404,-
ALK,9,2,29296888,29297057,-
ALK,10,2,29275402,29275496,-
ALK,11,2,29275099,29275227,-
ALK,12,2,29251105,29251267,-
ALK,13,2,29239680,29239830,-
ALK,14,2,29233565,29233696,-
ALK,15,2,29232304,29232448,-
ALK,16,2,29228884,29229066,-
ALK,17,2,29227574,29227672,-
ALK,18,2,29226922,29227074,-
ALK,19,2,29225461,29225565,-
ALK,20,2,29223342,29223528,-
ALK,21,2,29222517,29222607,-
ALK,22,2,29222344,29222408,-
ALK,23,2,29220706,29220835,-
ALK,24,2,29213984,29214081,-
ALK,25,2,29209786,29209878,-
ALK,26,2,29207171,29207272,-
ALK,27,2,29197542,29197676,-
ALK,28,2,29196770,29196860,-
ALK,29,2,29192774,29193922,-
EML4,1,2,42169353,42169636,+
EML4,2,2,42245505,42245687,+
EML4,3,2,42256501,42256630,+
EML4,4,2,42261121,42261294,+
EML4,5,2,42263178,42263306,+
EML4,6,2,42264706,42264731,+
EML4,7,2,42280850,42280973,+
EML4,8,2,42282823,42282972,+
EML4,9,2,42284634,42284703,+
EML4,10,2,42286269,42286379,+
EML4,11,2,42288227,42288322,+
EML4,12,2,42295125,42295259,+
EML4,13,2,42295381,42295516,+
EML4,14,2,42301241,42301392,+
EML4,15,2,42303104,42303229,+
EML4,16,2,42303315,42303446,+
EML4,17,2,42304484,42304551,+
EML4,18,2,42315962,42316050,+
EML4,19,2,42317427,42317524,+
EML4,20,2,42325467,42325554,+
EML4,21,2,42326154,42326252,+
EML4,22,2,42328886,42329016,+
EML4,23,2,42329734,42332548,+
